                              name                               |                                domain                                 | count_for_domain 
 Blacklock                                                       | theblacklock.com                                                      |                3
 The Botanist                                                    | thebotanist.uk.com                                                    |                3
 YO! Sushi                                                       | yosushi.com                                                           |                3
 Bleecker                                                        | bleeckerburger.co.uk                                                  |                3
 KERB                                                            | kerbfood.com                                                          |                3
 Oka                                                             | okarestaurant.co.uk                                                   |                3
 Grabli                                                          | grabli.ru                                                             |                2
 Gourmet Burger Kitchen                                          | gbk.co.uk                                                             |                2
 Tommi's Burger Joint                                            | tommis.is                                                             |                2
 All Bar One                                                     | allbarone.co.uk                                                       |                2
 The Hampstead Butcher & Providore                               | hampsteadbutcher.com                                                  |                2
 Draughts                                                        | draughtslondon.com                                                    |                2
 Petersham Nurseries                                             | petershamnurseries.com                                                |                2
 Island Poké                                                     | islandpoke.com                                                        |                2
 Chez Antoinette                                                 | chezantoinette.co.uk                                                  |                2
 Taco Mamacita                                                   | tacomamacita.com                                                      |                2
 Koi                                                             | koirestaurant.com                                                     |                2
 Per Tutti                                                       | pertuttirestaurant.co.uk                                              |                2
 Pophams                                                         | pophamsbakery.com                                                     |                2
 B Bagel Bakery Bar                                              | bbagel.co.uk                                                          |                2
 Sticks'n' Sushi Soho                                            | sticksnsushi.com                                                      |                2
 Starbucks                                                       | starbucks.com                                                         |                2
 220GRAD                                                         | 220grad.com                                                           |                2
 Cambridge Wine Merchants                                        | cambridgewine.com                                                     |                2
 Street Pizza Gordon Ramsay                                      | gordonramsayrestaurants.com                                           |                2
 Gin & Juice                                                     | ginandjuice.com                                                       |                2
 tashas                                                          | tashascafe.com                                                        |                2
 Beany Green                                                     | daisygreenfood.com                                                    |                2
 Brat                                                            | bratrestaurant.com                                                    |                2
 Subway                                                          | subway.co.uk                                                          |                2
 Kushi                                                           | kushirestaurant.co.uk                                                 |                2
 L'antica Pizzeria da Michele                                    | anticapizzeriadamichele.co.uk                                         |                2
 Emilia's Crafted Pasta                                          | emiliaspasta.com                                                      |                2
 Habaneros                                                       | habaneros.co.uk                                                       |                2
 Brunch & Cake                                                   | brunchandcake.com                                                     |                2
 Gail's                                                          | gailsbread.co.uk                                                      |                2
 Slim Chickens                                                   | slimchickens.co.uk                                                    |                2
 Maze Grill                                                      | gordonramsayrestaurants.com                                           |                2
 Vinoteca                                                        | vinoteca.co.uk                                                        |                2
 Nammos                                                          | nammos.gr                                                             |                2
 Tamarind                                                        | tamarindrestaurant.com                                                |                2
 Rudy's                                                          | rudyspizza.co.uk                                                      |                2
 Farm Girl                                                       | thefarmgirl.co.uk                                                     |                2
