                              name                               |                                domain                                 | count_for_domain 
 Broken Shaker                                                   | brokenshaker.com                                                      |                1
 Savory                                                          | savorycagliari.it                                                     |                1
 Wasbar                                                          | wasbar.be                                                             |                1
 Lucia                                                           | luciawinebar.co.uk                                                    |                1
 Benedicts                                                       | restaurantbenedicts.com                                               |                1
 Cock Tavern                                                     | cocktavern.co.uk                                                      |                1
 Moxie's Fish Bar                                                | moxiesfishbar.co.uk                                                   |                1
 Featherblade                                                    | featherblade.co.uk                                                    |                1
 The Salthouse                                                   | salthouseharbour.co.uk                                                |                1
 Dhevatara Beach Hotel                                           | dhevataraseychelles.com                                               |                1
 Boathouse                                                       | chefandbrewer.com                                                     |                1
 Pavilion                                                        | wearethepavilion.com                                                  |                1
 A for Athens                                                    | aforathens.com                                                        |                1
 The Refectory                                                   | brunningandprice.co.uk                                                |                1
 Cafè Turó                                                       | goutrouge.com                                                         |                1
 Gnom                                                            | gnomfood.co.uk                                                        |                1
 20 Spot                                                         | 20spot.com                                                            |                1
 Taberna                                                         | tabernatacos.com                                                      |                1
 GoGos Waterfront Restaurant                                     | go-gos.co.uk                                                          |                1
 Spitfire                                                        | spitfirebarbecue.com                                                  |                1
 Parlour Ice Cream                                               | parlouricecream.ca                                                    |                1
 HANBAO                                                          | hanbao.co.uk                                                          |                1
 The Golden Fleece                                               | golden-fleece.co.uk                                                   |                1
 Buzz Bingo                                                      | buzzbingo.com                                                         |                1
 Retsina & Mousaka                                               | retsina.co.uk                                                         |                1
 Hagen Espresso Bar                                              | thehagenproject.com                                                   |                1
 Chang Thai & Chinese Cuisine                                    | changthaicuisine.co.uk                                                |                1
 The Milk Churn                                                  | bookhamharrison.co.uk                                                 |                1
 Crafty Taproom                                                  | craftytaproom.co.uk                                                   |                1
 Harbour Lights                                                  | harbourlights.co.uk                                                   |                1
 Contrabando                                                     | restaurantecontrabando.pt                                             |                1
 Bruno's fish and chips                                          | brunosfishandchips.co.uk                                              |                1
 The Mexican                                                     | themexicancantina.co.uk                                               |                1
 The Earle                                                       | theearle.com                                                          |                1
 Hops Hill                                                       | hops-hill.com                                                         |                1
 Ruby Violet                                                     | rubyviolet.co.uk                                                      |                1
 Masons Restaurant                                               | masonsrestaurant.co.uk                                                |                1
 Villa Copenhagen                                                | villacopenhagen.com                                                   |                1
 Puri Garden Hotel & Hostel                                      | purigardenhotel.com                                                   |                1
 The White Hart                                                  | whitehart-sevenoaks.co.uk                                             |                1
 Pasture                                                         | pasturerestaurant.com                                                 |                1
 Kooky Nohmad                                                    | kookynohmad.com                                                       |                1
 The Moon & Sixpence                                             | moon-and-sixpence.co.uk                                               |                1
 STARK                                                           | starkfood.co.uk                                                       |                1
 Corkage                                                         | corkagebath.com                                                       |                1
 Elnecot                                                         | elnecot.com                                                           |                1
 The Flat                                                        | theflatexeter.co.uk                                                   |                1
 The Ten Bells                                                   | tenbellsnyc.com                                                       |                1
 Moules & Gin                                                    | moules.pt                                                             |                1
 Tania's Teahouse                                                | taniasteahouse.com                                                    |                1
 Cross Keys                                                      | crosskeysnewbury.co.uk                                                |                1
 The Laughing Heart                                              | thelaughingheartlondon.com                                            |                1
 Hula Hula                                                       | hulahulahvar.com                                                      |                1
 The Dumpling Tree                                               | thedumplingtreetakeaway.co.uk                                         |                1
 French Riviera                                                  | jumeirah.com                                                          |                1
 ESPA Life at Corinthia                                          | espalifeatcorinthia.com                                               |                1
 Grabli                                                          | grablifoodbar.ru                                                      |                1
 Purple Patch                                                    | purplepatchdc.com                                                     |                1
 The Cricketers Arms                                             | thecricketersarmspub.co.uk                                            |                1
 Prashad                                                         | prashad.co.uk                                                         |                1
 Seoul Kimchi Restaurant                                         | facebook.com                                                          |                1
 Sandbar                                                         | sandbarpraasands.co.uk                                                |                1
 Mandaloun                                                       | restaurant-mandaloun.ro                                               |                1
 Sint-Katelijneplein                                             |                                                                       |                1
 BOP Café                                                        | bop.pt                                                                |                1
 Laxeiro                                                         | laxeiro.co.uk                                                         |                1
 Done and Dusted                                                 | doneanddustedcafe.com                                                 |                1
 The Flower Pot Hotel                                            | brakspear.co.uk                                                       |                1
 Frank's Bar                                                     | franksbar.co.uk                                                       |                1
 Pilot Project Brewing                                           | pilotprojectbrewing.com                                               |                1
 Moosewood                                                       | moosewoodcooks.com                                                    |                1
 Arundel Castle                                                  | arundelcastle.org                                                     |                1
 In Parma by FOOD ROOTS                                          | inparma.co.uk                                                         |                1
 The Oyster Shed Billericay                                      | theoystershedbillericay.co.uk                                         |                1
 Sushi Me Rollin'                                                | sushimerollin.co.uk                                                   |                1
 Entremar                                                        | entremar.com                                                          |                1
 Moomaid of Zennor                                               | moomaidofzennor.com                                                   |                1
 La Fontelina                                                    | fontelina-capri.com                                                   |                1
 Darleys                                                         | darleys.com                                                           |                1
 The Ale House                                                   | the-ale-house-chelmsford.co.uk                                        |                1
 Piccola Cucina                                                  | piccolacucinagroup.com                                                |                1
 OLIOLI                                                          | oliolipoke.dk                                                         |                1
 The Queen’s Head                                                | queensheadbrixton.co.uk                                               |                1
 The Golden Hind                                                 | greeneking-pubs.co.uk                                                 |                1
 La Galleria                                                     | lagalleria-birmingham.co.uk                                           |                1
 Haandi Knightsbridge                                            | haandirestaurants.com                                                 |                1
 Fleur de the                                                    | fleurdethe.co.uk                                                      |                1
 Burj Al Arab                                                    | jumeirah.com                                                          |                1
 Pinotxo Bar                                                     | pinotxobar.com                                                        |                1
 LX Factory                                                      | lxfactory.com                                                         |                1
 Halifax                                                         | halifax.dk                                                            |                1
 Hoppi Dorri                                                     | hoppidorri.co.uk                                                      |                1
 Lucky Lotus                                                     | luckylotusdsm.com                                                     |                1
 The NoMad Bar                                                   | thenomadhotel.com                                                     |                1
 The Bank Tavern                                                 | banktavern.com                                                        |                1
 The Guildford Arms                                              | theguildfordarms.co.uk                                                |                1
 The Treasury                                                    | thetreasurybar.co.uk                                                  |                1
 Erbe Restaurant                                                 | erberestaurant.co.uk                                                  |                1
 Dumpling Shack                                                  | dumplingshack.co.uk                                                   |                1
 Terrazza Aperol                                                 | aperol.com                                                            |                1
 Picalagartos                                                    | picalagartos.eltenedor.rest                                           |                1
 The Rum & Crab Shack                                            | rumandcrabshack.com                                                   |                1
 The Best Dressed Crab                                           | thebestdressedcrabintown.co.uk                                        |                1
 Tzatziki                                                        | tzatzikiuk.co.uk                                                      |                1
 HIDE                                                            | hide.co.uk                                                            |                1
 Testi                                                           | testirestaurant.co.uk                                                 |                1
 Kilronan Castle                                                 | kilronancastle.ie                                                     |                1
 Queens of Mayfair                                               | queensofmayfair.com                                                   |                1
 Raja Tandoori Cuisine                                           | rajaknebworth.co.uk                                                   |                1
 The Ivy in the Lanes                                            | theivybrighton.com                                                    |                1
 Market at EDITION                                               | editionhotels.com                                                     |                1
 The Summerhouse                                                 | thesummerhouse.co                                                     |                1
 Bowgie Inn                                                      | bowgie.com                                                            |                1
 JBs American Diner                                              | jbsdiner.co.uk                                                        |                1
 Yim Wah Express                                                 | yimwahexpress.co.uk                                                   |                1
 The Brown Bear                                                  | thebrownbear.net                                                      |                1
 L'oscar London                                                  | loscar.com                                                            |                1
 Matthew's Kitchen                                               | matthewskitchen.london                                                |                1
 Blue Ribbon Sushi Bar & Grill                                   | blueribbonsushiredrock.com                                            |                1
 The Coach Makers Arms                                           | thecoachmakersarms.co.uk                                              |                1
 Solita                                                          | shootthebull.co.uk                                                    |                1
 Ristoro Della Salute                                            | ristorantecolosseo.it                                                 |                1
 The Daylight Inn                                                | thedaylightinn.co.uk                                                  |                1
 The Workshop Dubai                                              | theworkshopdubai.com                                                  |                1
 The Joker                                                       | thejokerbrighton.com                                                  |                1
 Saint Restaurant                                                | saint.restaurant                                                      |                1
 The Wren Coffee                                                 | thewrencoffee.com                                                     |                1
 Lounge 101                                                      | oneandonlyresorts.com                                                 |                1
 Beijing Dumpling                                                | beijingdumpling.co.uk                                                 |                1
 White Lion                                                      | theavongorgehotel.com                                                 |                1
 Red Torch Ginger                                                | redtorchginger.ie                                                     |                1
 Santo Lounge                                                    | thelounges.co.uk                                                      |                1
 Morito                                                          | moritohackneyroad.co.uk                                               |                1
 Rita's                                                          | ritasdining.com                                                       |                1
 ZEIK                                                            | zeik.de                                                               |                1
 Farm and Table                                                  | farmandtable.uk                                                       |                1
 Carlo's Bakery                                                  | carlosbakery.com                                                      |                1
 Museum of London                                                | museumoflondon.org.uk                                                 |                1
 Cala Conills                                                    | calaconills.com                                                       |                1
 Barnini                                                         | barnini.be                                                            |                1
 Gelatorino                                                      | gelatorino.com                                                        |                1
 Pings                                                           | eatatpings.com                                                        |                1
 Frendz                                                          | frendzresorthostels.com                                               |                1
 Giacomo Arengario                                               | giacomoarengario.com                                                  |                1
 The Scolt Head                                                  | thescolthead.co.uk                                                    |                1
 Villa Crespi                                                    | villacrespi.it                                                        |                1
 Quaglino's                                                      | quaglinos-restaurant.co.uk                                            |                1
 Old Town Pizza Co                                               | oldtownpizzaschaumburg.com                                            |                1
 Abigail's                                                       | abigailsnjrestaurant.com                                              |                1
 Madruga Bakery                                                  | madrugabakery.com                                                     |                1
 NAC                                                             | naclondon.co.uk                                                       |                1
 The Shrimp                                                      | theshrimp.dk                                                          |                1
 Oxbo                                                            | oxbobankside.co.uk                                                    |                1
 Park Plaza London Waterloo                                      | parkplazalondonwaterloo.com                                           |                1
 Rock Republic                                                   | rockrepublicdubai.com                                                 |                1
 Pizza Saco                                                      | pizzasaco.com                                                         |                1
 The Aviary                                                      | theaviary.com                                                         |                1
 Durrants Hotel                                                  | durrantshotel.co.uk                                                   |                1
 The Hope                                                        | hopecarshalton.co.uk                                                  |                1
 Cheeky Chicos                                                   | cheekychicos.co.uk                                                    |                1
 Rasa Contemporary Indian                                        | rasaindian.com                                                        |                1
 Pacific Catch                                                   | pacificcatch.com                                                      |                1
 H10 Conquistador                                                | h10hotels.com                                                         |                1
 The Mooring Seafood Kitchen & Bar                               | mooringrestaurant.com                                                 |                1
 Sebastian's Italian                                             | sebastiansrichmond.co.uk                                              |                1
 Amass Fried Chicken                                             | amassrestaurant.com                                                   |                1
 La Coppola                                                      | lacoppola.co.uk                                                       |                1
 Belmond Cadogan Hotel                                           | belmond.com                                                           |                1
 The Front Room Cafe                                             | thefrontroomcafe.london                                               |                1
 La Gelatiera                                                    | lagelatiera.co.uk                                                     |                1
 Delifonseca                                                     | delifonseca.co.uk                                                     |                1
 Sierra Nevada                                                   | sierranevada.com                                                      |                1
 Quo Vadis                                                       | quovadissoho.co.uk                                                    |                1
 Berber & Q                                                      | berberandq.com                                                        |                1
 De.Wan 1958                                                     | dewan.space                                                           |                1
 Rasa Sayang                                                     | rasasayangroyston.co.uk                                               |                1
 Sugarcane London                                                | sugarcanelondon.com                                                   |                1
 Taverna Trilussa                                                | tavernatrilussa.com                                                   |                1
 Alborz                                                          | alborz-restaurant.co.uk                                               |                1
 The Lady Chatterley                                             | jdwetherspoon.com                                                     |                1
 Suzi Tros                                                       | suzitros.com                                                          |                1
 The Berkeley Hotel Rooftop Pool                                 | the-berkeley.co.uk                                                    |                1
 Jae's                                                           | jaesrestaurant.com                                                    |                1
 Clockworks                                                      | clockworksliverpool.com                                               |                1
 Chin Chin Ice Cream                                             | chinchinicecream.com                                                  |                1
 Hotel München Palace                                            | hotel-muenchen-palace.de                                              |                1
 Tivoli                                                          | tivoli.dk                                                             |                1
 Falafeleria                                                     | falafeleria.es                                                        |                1
 Cherilyn Monta Resort                                           | cherilynmonta.com                                                     |                1
 Hilton                                                          | hiltonbonnetcreek.com                                                 |                1
 The Butcher's Block                                             | thebutchersblockpub.co.uk                                             |                1
 Les Deux Magots                                                 | lesdeuxmagots.fr                                                      |                1
 Proud Embankment                                                | proudcabaretembankment.com                                            |                1
 Coqbull                                                         | coqbull.co.uk                                                         |                1
 White Rabbit                                                    | whiterabbitmoscow.ru                                                  |                1
 American Two Shot                                               | americantwoshot.com                                                   |                1
 St Clements                                                     | stclementscafe.co.uk                                                  |                1
 Circle Cafe                                                     | circle-cafe.com                                                       |                1
 Anexo                                                           | anexo.co.uk                                                           |                1
 The Coach                                                       | thecoachmarlow.co.uk                                                  |                1
 The Village Pub                                                 | barnsleyhouse.com                                                     |                1
 Thyme                                                           | thyme.co.uk                                                           |                1
 Billy's on the Beach                                            | billysonthebeach.co.uk                                                |                1
 Blenheim Palace                                                 | blenheimpalace.com                                                    |                1
 Friends Açaí                                                    | friendsacai.com                                                       |                1
 Yakiniku Yazawa                                                 | yazawameat.com                                                        |                1
 The Lane                                                        | thelanewanstead.co.uk                                                 |                1
 The Coach                                                       | thecoachclerkenwell.co.uk                                             |                1
 Haz                                                             | hazrestaurant.co.uk                                                   |                1
 The Ivy Asia St Paul's                                          | theivyasia.com                                                        |                1
 Zoey's Deli & Bakery                                            | zoeys.com                                                             |                1
 Bovine Burgers                                                  | bovineburgers.com                                                     |                1
 Al Quimia                                                       | algarve.epic.sanahotels.com                                           |                1
 The London Palladium                                            | lwtheatres.co.uk                                                      |                1
 Mother Flipper                                                  | motherflipper.co.uk                                                   |                1
 The Yew Tree                                                    | theyewtreelowerwield.co.uk                                            |                1
 La Grosera                                                      | lagrosera.es                                                          |                1
 The Noodle Bar                                                  | conradseoul.co.kr                                                     |                1
 Russ & Daughters Brooklyn                                       | shop.russanddaughters.com                                             |                1
 London House                                                    | restaurantlondonhouse.co.uk                                           |                1
 Got No Beef                                                     | gotnobeef.co.uk                                                       |                1
 Wasabi Papi Sushi                                               | wasabipapi.com                                                        |                1
 Sweet Basil Valley                                              | sweetbasilvalley.com                                                  |                1
 Girlfriend                                                      | girlfriendlondon.co.uk                                                |                1
 Juju's Bar and Stage                                            | jujusbarandstage.com                                                  |                1
 Artichoke                                                       | hampsteadvillagelondon.com                                            |                1
 The Elm Tree                                                    | theelmtreebeechhill.co.uk                                             |                1
 The Mitre Hotel                                                 | mitrehamptoncourt.com                                                 |                1
 Corazón                                                         | corazonlondon.co.uk                                                   |                1
 Ahau Tulum                                                      | ahaucollection.com                                                    |                1
 Sushi Masa                                                      | facebook.com                                                          |                1
 The Queens Oak                                                  | thequeensoak.com                                                      |                1
 Pecoro                                                          | pecoro.co.uk                                                          |                1
 Memmo Alfama Hotel                                              | memmoalfama.com                                                       |                1
 The Pavilion End                                                | pavilionendpub.co.uk                                                  |                1
 Oblix at The Shard                                              | oblixrestaurant.com                                                   |                1
 Rixos Premium Göcek                                             | rixos.com                                                             |                1
 Fredericks                                                      | fredericks-dansk.co.uk                                                |                1
 The Crawfish Spot                                               | crawfishspotlouisiana.com                                             |                1
 SushiDog                                                        | sushidog.co.uk                                                        |                1
 Napoli Per Tutti                                                | napolipertutti.com                                                    |                1
 The Albert Arms                                                 | thealbertarms.co.uk                                                   |                1
 The Lobster Shed                                                | thepighotel.com                                                       |                1
 Opheem                                                          | opheem.com                                                            |                1
 Oklava                                                          | oklava.co.uk                                                          |                1
 The Swan                                                        | swanbraybrooke.co.uk                                                  |                1
 Prevail Boxing                                                  | prevailboxing.com                                                     |                1
 Bakedd                                                          | bakedd.co.uk                                                          |                1
 The Oyster & Fish House                                         | hixoysterandfishhouse.co.uk                                           |                1
 Ristorante Al Bagatto                                           | albagatto.it                                                          |                1
 Romdeng                                                         | romdeng-restaurant.org                                                |                1
 The Lexden Crown                                                | thelexdencrown.co.uk                                                  |                1
 Streatham Common                                                | streathamcommon.org                                                   |                1
 The Fox                                                         | fox-newport.co.uk                                                     |                1
 Katz's Delicatessen                                             | katzsdelicatessen.com                                                 |                1
 Mother Kelly's Bottle Shop                                      | motherkellys.co.uk                                                    |                1
 Arbory Afloat                                                   | arboryafloat.com.au                                                   |                1
 Zenbu                                                           | zenbu.co.id                                                           |                1
 Latteria                                                        | latteria.co                                                           |                1
 Don't Yell At Me                                                | dontyellatme.com                                                      |                1
 Dominique Ansel Bakery                                          | dominiqueansellondon.com                                              |                1
 Yazawa                                                          | yazawameat.us                                                         |                1
 The Barge House                                                 | bargehouse.co.uk                                                      |                1
 Ertlio Namas                                                    | ertlionamas.lt                                                        |                1
 Towpath Café                                                    | towpathcafe.wordpress.com                                             |                1
 Balsbury Grocer                                                 | balsburygrocer.co.uk                                                  |                1
 Flour & Water Co.                                               | flourandwaterco.com                                                   |                1
 Don Pippo                                                       | donpippo.no                                                           |                1
 Belmond Copacabana Palace                                       | belmond.com                                                           |                1
 Pizza Félix                                                     | pizzafelix.mx                                                         |                1
 St George's Chapel                                              | stgeorges-windsor.org                                                 |                1
 Honey                                                           | honeycafe.co.nz                                                       |                1
 Comptoir Poilâne                                                | poilane.com                                                           |                1
 Le Pressoir d'Argent                                            | gordonramsayrestaurants.com                                           |                1
 Zafferano                                                       | zafferanorestaurant.com                                               |                1
 Temple Cellars                                                  | templecellars.com                                                     |                1
 Martínez                                                        | martinezbarcelona.com                                                 |                1
 Indego by Vineet                                                | indegobyvineet.com                                                    |                1
 Strada in the Grove                                             | stradainthegrove.com                                                  |                1
 The Peninsula Tokyo                                             | peninsula.com                                                         |                1
 Park Chinois                                                    | parkchinois.com                                                       |                1
 Red Lion                                                        | chefandbrewer.com                                                     |                1
 Cheltenham Motor Club                                           | cheltmc.com                                                           |                1
 Kay's Village Bakery                                            | kaysvillagebakery.com                                                 |                1
 CASA28                                                          | casa28.com.es                                                         |                1
 Fairmont Zimbali Resort                                         | fairmont.com                                                          |                1
 The European                                                    | theeuropeanrestaurant.co.uk                                           |                1
 La Brasa de Ibiza                                               | labrasaibiza.com                                                      |                1
 Humber Fish Co                                                  | humberfishco.co.uk                                                    |                1
